,CustomerId,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,EstimatedSalary,SpendingScore,Family,Exited
0,15586133,666,Mid,Female,44,2,2690919000,1,301729000,18,Married,0
1,15713354,597,Mid,Female,22,4,2233629000,1,310328000,45,Single,0
2,15710390,655,North,Female,39,6,2081888000,2,655373000,12,Married,0
3,15732832,707,North,Female,40,5,0,2,180632000,49,Single,0
4,15568449,661,South,Male,38,7,3146147000,1,68864000,44,Single,0
5,15694349,714,South,Male,44,7,0,1,30462000,11,Single,0
6,15801441,670,Mid,Female,35,2,1750891000,1,874733000,89,Married,0
7,15581871,504,Mid,Male,42,7,2888322000,2,658670000,72,Single,0
8,15720713,850,North,Female,29,10,0,2,879013000,56,Married,0
9,15667458,764,Mid,Male,28,10,2728510000,1,731228000,80,Single,0
10,15577514,698,Mid,Female,36,7,2667800000,1,58907000,14,Single,0
11,15745433,716,Mid,Female,30,2,4526957000,2,288045000,22,Married,0
12,15766289,751,North,Male,47,5,3138738000,2,716148000,44,Married,0
13,15684696,560,South,Female,26,3,2564682000,1,693296000,66,Married,0
14,15645404,625,North,Female,51,4,2741640000,2,405873000,64,Single,1
15,15797905,682,North,Female,48,7,0,2,286304000,50,Single,0
16,15609562,774,South,Female,43,1,2559922000,1,74818000,46,Single,0
17,15599289,724,North,Female,37,10,1509168000,1,694596000,99,Single,0
18,15713370,657,South,Male,36,8,4141303000,2,805457000,36,Single,0
19,15739576,706,South,Male,20,2,0,2,54420000,5,Single,0
20,15651001,725,Mid,Female,39,5,2569684000,1,545833000,90,Single,0
21,15649744,628,North,Female,51,3,2727589000,2,178403000,12,Single,0
22,15806318,676,Mid,Female,48,2,2737732000,1,66302000,14,Single,0
23,15715744,605,North,Male,39,7,0,1,525132000,46,Single,0
24,15794870,744,Mid,Male,38,6,1606510000,2,346592000,55,Single,0
25,15798888,605,Mid,Female,31,1,2595837000,1,807835000,45,Single,0
26,15572398,614,South,Female,39,6,0,2,721684000,70,Single,1
27,15750731,736,Mid,Male,50,9,2558798000,1,815586000,52,Single,0
28,15698758,630,South,Female,31,1,0,2,747132000,31,Single,0
29,15764335,463,Mid,Female,41,8,2709333000,2,308563000,26,Single,0
30,15763055,572,South,Male,31,5,2158393000,1,527987000,17,Married,1
31,15573242,691,North,Male,50,6,3012976000,1,11902000,81,Married,0
32,15690188,631,North,Male,33,7,0,1,255389000,1,Single,0
33,15700693,693,North,Male,68,2,0,2,263406000,91,Single,0
34,15580249,502,North,Male,45,1,0,1,372518000,12,Married,0
35,15713505,554,North,Male,31,1,0,2,847706000,55,Single,0
36,15756148,765,South,Male,45,2,2014095000,1,207414000,98,Single,1
37,15806945,611,North,Female,30,9,1949071000,1,863863000,53,Married,0
38,15652401,496,North,Female,36,7,0,2,475632000,20,Single,0
39,15797293,677,North,Female,25,3,0,2,790279000,17,Married,1
40,15654878,450,North,Male,29,7,2578396000,1,191315000,23,Single,0
41,15764537,703,North,Male,43,8,0,2,42701000,80,Single,0
42,15677512,628,South,Female,22,3,0,1,375876000,6,Married,0
43,15622443,549,North,Male,31,4,0,2,113013000,47,Single,0
44,15664681,584,North,Female,35,2,2515068000,2,70220000,40,Single,0
45,15742378,520,Mid,Male,32,5,2420655000,1,247485000,75,Single,0
46,15741385,710,Mid,Male,45,9,2381090000,1,829726000,31,Single,0
47,15720371,652,North,Female,51,3,0,1,765554000,47,Single,0
48,15701238,683,North,Male,47,1,0,2,655552000,82,Married,0
49,15705034,691,South,Male,40,1,0,2,640698000,26,Single,0
50,15653275,785,South,Female,54,1,0,2,198501000,45,Single,0
51,15672970,714,South,Male,20,2,0,2,662050000,66,Single,0
52,15576022,565,North,Male,38,5,0,2,354773000,12,Single,0
53,15588372,715,Mid,Female,37,9,2320765000,1,629625000,52,Single,0
54,15592326,583,North,Male,36,8,0,2,24515000,25,Single,0
55,15675185,697,Mid,Female,48,2,2378837000,2,457355000,77,Single,0
56,15793366,781,Mid,Male,35,7,2035575000,2,764885000,18,Single,0
57,15627365,732,North,Male,46,1,0,2,811143000,71,Single,0
58,15745080,634,North,Male,26,8,0,1,95748000,38,Single,0
59,15749807,516,South,Female,31,3,0,2,546490000,39,Single,0
60,15782210,714,North,Male,46,1,0,1,669538000,24,Single,0
61,15692929,791,Mid,Female,42,10,2500463000,2,615765000,93,Married,0
62,15604732,483,North,Female,30,9,0,2,599971000,98,Married,0
63,15804822,805,North,Female,31,4,0,2,21112000,2,Married,1
64,15701439,698,South,Female,50,1,0,4,389694000,71,Married,0
65,15747358,643,Mid,Male,59,3,3747290000,1,141556000,27,Single,0
66,15623489,543,North,Female,67,1,2834561000,1,592295000,67,Single,0
67,15655123,505,South,Female,45,9,2889817000,3,859739000,40,Single,0
68,15638774,719,South,Female,40,9,0,2,801786000,23,Single,0
69,15624866,658,Mid,Male,37,3,3712186000,2,309629000,98,Single,1
70,15784958,797,North,Female,55,10,0,4,217443000,73,Single,0
71,15799998,608,North,Female,30,8,1888915000,1,628013000,74,Married,0
72,15733974,500,South,Male,37,9,2768089000,1,491471000,25,Single,0
73,15649457,588,Mid,Male,41,2,2889512000,2,30954000,58,Married,0
74,15781451,504,North,Male,42,3,2968613000,2,594787000,48,Married,0
75,15727021,727,Mid,Female,30,8,2618600000,2,606776000,15,Married,0
76,15748532,828,South,Male,42,10,0,1,818713000,48,Single,0
77,15652658,721,North,Male,36,1,3413890000,2,218475000,18,Single,0
78,15623744,634,North,Male,34,8,2316659000,1,541926000,68,Single,0
79,15784124,645,Mid,Male,41,2,2066357000,1,545521000,81,Single,0
80,15716449,527,South,Male,33,9,2907702000,1,434430000,25,Married,0
81,15601977,497,South,Male,44,2,2667501000,1,350642000,21,Single,0
82,15686718,802,Mid,Male,37,9,2542523000,1,527045000,62,Single,0
83,15582944,425,South,Female,39,5,0,2,620142000,11,Single,0
84,15636521,744,South,Female,30,1,2728820000,1,625728000,88,Single,0
85,15610165,761,North,Female,26,1,0,2,877400000,11,Single,0
86,15701081,785,North,Male,36,2,0,1,271969000,53,Single,0
87,15677317,570,North,Female,29,4,3366881000,1,578000000,34,Single,0
88,15579130,708,Mid,Female,43,1,2617886000,1,798599000,33,Married,1
89,15658449,695,North,Male,45,9,948962000,1,340254000,57,Married,0
90,15806230,629,Mid,Male,40,2,2676246000,2,285339000,9,Married,0
91,15755330,512,Mid,Male,41,7,2692871000,1,164736000,51,Married,0
92,15674343,597,North,Male,44,8,1718819000,2,480273000,62,Single,0
93,15601594,698,North,Female,51,6,3173234000,4,691432000,34,Divorced,0
94,15574283,580,North,Male,31,2,0,2,281663000,91,Single,0
95,15621687,813,North,Male,34,1,0,2,189944000,12,Married,0
96,15625023,682,North,Male,40,4,0,1,463551000,82,Single,1
97,15709478,611,Mid,Male,37,1,2585544000,2,708683000,19,Single,0
98,15610930,572,Mid,Female,35,1,3079540000,1,816916000,86,Single,0
99,15724563,752,Mid,Female,42,3,1431014000,2,616613000,72,Single,0
100,15801942,619,South,Female,41,8,0,3,351414000,86,Single,0
101,15610454,724,Mid,Female,33,9,2624126000,1,867452000,51,Married,0
102,15768367,781,North,Female,27,7,4104288000,1,770314000,26,Married,0
103,15590327,604,Mid,Female,42,10,3652692000,1,432490000,92,Married,0
104,15710161,850,North,Female,34,2,0,2,755509000,19,Married,0
105,15784010,666,Mid,Male,33,2,2730756000,1,360293000,67,Married,0
106,15807923,716,Mid,Female,39,10,2536629000,1,191521000,80,Single,0
107,15629545,790,South,Female,41,7,2409191000,1,381816000,67,Single,0
108,15770711,766,Mid,Female,28,4,1995329000,1,95028000,24,Single,0
109,15753337,555,North,Male,51,5,0,3,832141000,79,Married,0
110,15624995,714,South,Female,31,6,3364385000,1,223960000,54,Married,0
111,15569626,577,South,Male,35,5,2421767000,1,483095000,34,Single,0
112,15789484,751,Mid,Female,36,6,3736292000,2,122137000,74,Single,0
113,15716822,646,North,Male,30,5,2156324000,1,56131000,1,Married,1
114,15641994,667,Mid,Male,43,1,2266406000,1,142835000,59,Single,0
115,15777211,515,North,Male,65,7,2026499000,1,627213000,39,Married,0
116,15640078,660,Mid,Female,39,5,2972970000,1,764205000,20,Single,0
117,15586870,632,North,Male,27,4,4248769000,1,671730000,45,Married,0
118,15780954,582,South,Male,26,4,1448664000,2,132657000,8,Married,0
119,15706199,636,Mid,Male,36,6,2126153000,1,801061000,50,Divorced,0
120,15624592,603,North,Male,31,8,0,2,747626000,57,Single,1
121,15664311,637,Mid,Male,28,3,2720865000,1,732417000,28,Married,0
122,15600357,495,North,Female,40,1,3084350000,2,663170000,28,Married,1
123,15693376,741,South,Male,43,1,0,2,12851000,30,Single,0
124,15797010,649,North,Female,31,2,0,2,66883000,71,Single,0
125,15574115,656,South,Female,41,6,2225943000,2,155015000,87,Single,0
126,15695792,673,North,Male,65,1,0,1,377227000,38,Single,0
127,15777067,445,North,Male,64,2,3008955000,1,192183000,9,Single,0
128,15669945,492,North,Male,35,4,3109906000,2,173886000,84,Single,0
129,15744240,688,Mid,Female,46,1,1638082000,1,30212000,60,Divorced,1
130,15664547,760,North,Male,37,7,0,1,144598000,47,Single,0
131,15752534,744,North,Male,36,10,0,2,804618000,85,Single,0
132,15761023,554,Mid,Female,43,2,2658636000,1,33491000,35,Single,0
133,15597983,692,North,Male,69,10,3408987000,1,311738000,50,Married,1
134,15666823,425,North,Male,39,4,0,2,867796000,2,Single,0
135,15609977,587,North,Male,47,6,1562589000,1,255035000,31,Single,0
136,15750441,782,North,Male,36,5,1786636000,2,475215000,42,Married,0
137,15617432,816,Mid,Female,40,9,2398072000,1,350154000,16,Married,0
138,15800784,645,North,Male,42,4,2162560000,1,2975000,7,Single,0
139,15651093,707,North,Female,55,1,0,2,239402000,47,Single,0
140,15771742,580,Mid,Male,38,9,2539728000,2,565319000,86,Married,0
141,15809124,750,North,Male,38,5,3333713000,1,204843000,14,Married,0
142,15602500,850,South,Male,38,1,3219568000,1,457169000,41,Single,0
143,15592937,632,Mid,Female,41,3,1801302000,1,148026000,55,Married,0
144,15715414,658,North,Female,38,6,2263692000,1,684929000,98,Married,0
145,15718789,604,North,Male,30,5,0,2,333461000,72,Single,0
146,15678206,464,North,Male,46,6,3559568000,1,804956000,72,Single,0
147,15691875,850,Mid,Female,39,5,2518820000,1,438634000,94,Married,0
148,15624293,514,North,Female,46,3,2343261000,1,242318000,22,Married,0
149,15780088,607,South,Male,34,9,2913680000,1,782090000,47,Single,0
150,15638646,669,North,Female,43,1,3530441000,1,422238000,75,Single,0
151,15732020,610,Mid,Male,57,6,2352638000,2,821095000,91,Single,0
152,15743760,850,North,Male,31,6,2903927000,2,786489000,44,Married,0
153,15716164,501,North,Female,41,3,3173731000,1,757305000,78,Married,0
154,15730339,670,South,Male,30,3,2935819000,1,13882000,53,Married,0
155,15714750,690,North,Female,42,3,2036719000,2,311567000,46,Married,0
156,15813974,731,Mid,Male,37,3,2571372000,1,759961000,31,Single,0
157,15774936,543,Mid,Male,41,6,3153709000,1,845109000,97,Married,0
158,15798053,707,South,Male,32,9,0,2,556493000,40,Single,1
159,15565996,653,North,Male,44,8,0,2,680415000,32,Married,0
160,15676519,615,South,Male,61,9,0,2,661003000,96,Single,0
161,15795878,636,South,Male,45,3,0,2,701641000,65,Married,0
162,15646563,772,North,Female,35,9,0,1,111973000,82,Single,0
163,15585823,627,North,Male,31,8,2818898000,1,422978000,21,Married,0
164,15662152,552,North,Female,38,9,2950310000,1,254540000,1,Single,0
165,15579777,850,North,Male,41,3,0,2,567126000,38,Married,0
166,15769522,734,North,Male,51,1,2607824000,1,514415000,29,Single,0
167,15664339,775,South,Male,48,4,3919188000,2,220741000,94,Single,0
168,15611371,736,North,Male,43,4,3874960000,1,232570000,22,Married,0
169,15620577,715,North,Male,45,4,0,2,242193000,6,Single,1
170,15800061,495,South,Female,45,3,1961497000,3,594747000,3,Married,0
171,15658532,520,South,Female,63,5,3570123000,1,152967000,3,Single,0
172,15638047,613,Mid,Female,45,9,3140835000,2,152898000,32,Single,0
173,15650933,490,South,Female,48,8,3419087000,1,826854000,33,Single,0
174,15801169,764,Mid,Female,39,9,3043513000,1,220321000,99,Single,0
175,15698117,701,Mid,Male,41,1,3318589000,1,561543000,88,Divorced,0
176,15647259,643,South,Male,35,2,0,2,299109000,84,Single,0
177,15602043,770,Mid,Female,46,5,3119350000,2,725856000,60,Single,0
178,15782688,625,Mid,Male,56,1,3267159000,1,206026000,19,Single,0
179,15641175,701,Mid,Male,63,3,2660163000,3,636801000,53,Single,0
180,15770811,519,North,Male,36,9,0,2,640475000,54,Married,0
181,15642996,546,Mid,Female,42,9,1899741000,2,252473000,1,Single,0
182,15657881,784,North,Male,38,5,3007684000,1,747652000,79,Married,0
183,15616240,530,South,Male,37,4,0,2,725315000,11,Single,0
184,15747174,526,Mid,Male,58,9,4186576000,2,841561000,43,Single,0
185,15791925,751,North,Male,29,10,3250228000,1,417786000,21,Married,1
186,15603749,564,North,Female,53,2,1000390000,1,180645000,13,Single,0
187,15713160,669,South,Male,25,7,3459029000,2,547285000,79,Single,0
188,15682686,722,North,Female,38,3,0,2,739133000,52,Single,0
189,15680998,725,North,Male,44,5,0,1,516367000,50,Single,0
190,15691323,672,Mid,Male,40,4,1958569000,2,831126000,18,Married,0
191,15688563,694,Mid,Male,31,4,3123764000,2,114914000,4,Single,0
192,15800515,516,North,Male,35,5,2830379000,1,561256000,28,Single,0
193,15568953,477,North,Male,27,1,2828210000,1,585962000,65,Married,0
194,15741875,746,South,Female,25,3,2306343000,1,316410000,86,Single,0
195,15568915,681,North,Male,38,6,3381894000,1,445807000,5,Married,0
196,15601787,641,Mid,Male,35,2,2281654000,1,846843000,19,Single,0
197,15651280,742,Mid,Male,35,5,3010854000,1,371842000,87,Single,0
198,15691863,751,North,Female,39,3,0,2,370371000,76,Single,0
199,15773421,673,North,Female,42,4,0,2,534340000,76,Single,0
200,15780846,787,North,Male,33,1,2784954000,2,273520000,80,Married,0
201,15607170,699,North,Male,35,5,0,2,344948000,79,Married,0
202,15646490,537,South,Male,42,1,4192523000,1,559481000,87,Single,0
203,15778463,657,North,Female,37,6,2108603000,1,537760000,81,Single,0
204,15627232,608,Mid,Male,44,7,2512476000,1,342454000,76,Single,0
205,15605113,518,North,Female,27,1,2943633000,1,630589000,20,Single,0
206,15811773,543,North,Male,36,4,0,2,621326000,91,Single,0
207,15788189,665,North,Female,41,8,2115246000,1,602967000,30,Single,0
208,15601184,604,South,Female,26,3,0,2,683094000,45,Married,0
209,15602373,812,North,Male,44,4,2531081000,2,726169000,26,Married,0
210,15755242,682,North,Female,46,2,0,1,503548000,79,Married,0
